Name,Category,From Price (EUR),New In,Description,Size,Suitable For,Image URL
Barbie Dreamhouse Giant Combi,Giant Castles,180,,Giant Barbie combi with a large double slide and big bounce area. A real showstopper for parties.,Giant combi with double slide,Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/86125a372b01cb0c51b1b2c894541b95"
Minecraft Obstacle Course,Giant Castles,180,,Giant 9m x 4m Minecraft obstacle course with multiple sections. High-energy fun for ages 5+.,9m x 4m giant unit,Children (5+),"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/4a61e7a9adbb0e4a4a91ef529bbc203d"
Disney Princess Castle Giant Combi,Giant Castles,150,,"Giant princess-themed combi with bounce area, basketball hoop and slide. A magical centrepiece for birthdays and communions.","20ft x 23ft (needs 23ft x 26ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/f6ac409a1a207a0b4f2cd5a281bdeda6"
L.O.L Doll House Giant Combi,Giant Castles,150,,Bright L.O.L themed giant combi with slide and spacious play zones.,"20ft x 23ft (needs 23ft x 26ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/0657886388ee22bed3d43a9940032b4b"
Toy Story Giant Combi,Giant Castles,150,,"Giant Toy Story combi with large slide and internal obstacles. Buzz, Woody and the gang.",22.2ft x 26ft (needs 26.2ft x 27ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/8ae07af231da7114514b882b19e46967"
Poppy and Troll Gang Giant Combi,Giant Castles,150,,Colourful Trolls-themed giant combi with slide and big bounce area. Overnight hire available.,24ft x 24ft (needs 26ft x 26ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/8c5066dac510e5b2b053a995859cdf0c"
Lightning McQueen / Cars Giant Combi,Giant Castles,150,,Cars-themed giant combi with bounce area and a large slide. A favourite for racing fans.,"24ft x 24ft (needs 26ft x 26ft, 3ft platform)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/19a1847f4e9f998e6c2f4b98384b0f9f"
Spiderman Giant Combi,Giant Castles,150,,Giant Spiderman combi with a large slide and internal obstacles. Rainproof design.,"20ft x 23ft (needs 23ft x 26ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/e1c12e5e226a69daa70ca61a7d36e410"
Frozen Giant Combi,Giant Castles,150,,Giant Frozen castle combi with a large slide and fun obstacles inside.,"23ft x 23ft (needs 26ft x 26ft, 10ft access)",Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/7de97bf2cbe7b41acbcf04f501b26ad7"
Gru & The Minions Giant Combi,Giant Castles,150,Yes,Despicable Me giant combi with slide. Gru and the Minions for non-stop family fun.,21.5ft x 23ft (needs 23ft x 26.5ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/f7f31a810d052c62d0fef6bd75b5022f"
Paw Patrol Giant Combi,Giant Castles,150,Yes,Giant Paw Patrol combi with large slide and rainproof canopy. A party favourite.,20ft x 23ft (needs 23ft x 26.3ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/2847f1309ff935336e505b26ce7ec1ba"
Rainbow High Giant Combi,Giant Castles,150,Yes,Vibrant Rainbow High giant combi with a large slide and roomy bounce area.,23ft x 20ft (needs 26.3ft x 23ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/101c62efce7cdbddc346c3c93e53ccbb"
Unicorn Giant Combi,Giant Castles,120,,"Magical unicorn-themed giant combi, fully rainproof, with plenty of bounce space. Special offer price.",19ft x 16ft (needs 21ft x 21ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/91accc4fb150cf9bfe3254434fb59d01"
Paw Patrol Medium Combi,Bouncy Castles,145,Yes,Medium Paw Patrol combi with bounce area and slide. Fits more compact spaces.,18ft x 15ft (needs 21ft x 18ft),Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/c1916145d10beeadd8498595b112806f"
Elsas Frozen Castle,Bouncy Castles,140,,Frozen-themed castle with built-in slide and icy blue graphics. Plenty of room to bounce and play.,"19.7ft x 14.8ft (needs 22ft x 17.8ft, 5ft access)",Children Only,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/386d01300c2fbe7dc5b7ef1a0a14a1ac"
Lego Batman Combi,Bouncy Castles,120,,Lego Batman combi pairing a bounce area with a slide. Bold superhero graphics kids love.,11.5ft x 15ft (needs 14.5ft x 18ft),Children Only,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/336d0866a84d7ce02da2d91535acfddd"
Lego Friends Medium Combi,Bouncy Castles,110,,Compact Lego Friends combi with bounce area and slide. Fits smaller gardens. Ideal for ages 3-10.,"Medium combi, fits smaller gardens",Children (3-10),"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/c44cdde9cdab206f0877ac3793e8b95c"
Small Princess Bouncer,Bouncy Castles,100,,Compact princess-themed bouncer made for small gardens. Perfect for younger children (2-8).,13.2ft x 13.2ft (needs 16.4ft x 16ft),Children Only,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/5f3e92aeda48e647e725b3d0db4bfe68"
The Giant Barbie Princess with Double Slide,Giant Slides,190,,Huge Barbie-themed unit with two slides so more kids can play at once. Grass surfaces only.,"26ft x 34ft (needs 28ft x 36ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/424ab3d9cd4fd8627b8b13697b0616ee"
Tropical Forest Slide,Giant Slides,150,,"Towering jungle-themed giant slide. Fast, thrilling and eye-catching for big groups.","23ft x 33ft (needs 26ft x 36ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/c863904fd99a86f1cd979b7131e8c9ac"
Giant Candy Slide,Giant Slides,150,,Colourful candy-themed giant slide. A standout centrepiece for any event.,"26ft x 17ft (needs 22ft x 33ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/8568ea61a1ce06278eae616190f814e1"
Giant Sonic Slide,Giant Slides,150,,"Sonic-themed giant double-lane slide for head-to-head racing. Suits kids, teens and adults.",Giant double-lane slide,Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/e3be9b19a13bdb3a09f7a3a71eb64f29"
Lego Movie Giant Combi,Bounce & Slide,150,,Lego Movie giant combi with a spacious bounce area and smooth large slide.,"20ft x 23ft (needs 23ft x 26ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/ed4d79a92cc50c85456cba640b296f5b"
Avengers Giant Combi,Bounce & Slide,150,,"Marvel Avengers giant combi with bounce area and slide. Iron Man, Hulk, Thor and more.","20ft x 23ft (needs 23ft x 26ft, 10ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/8262bbdeee886145ac9b182bf9c902a5"
Spiderman Bounce & Slide,Bounce & Slide,140,,Action-packed Spiderman bounce-and-slide with a roomy bounce area and slide. Great for ages 3-12.,"19.7ft x 14.8ft (needs 22ft x 17.8ft, 5ft access)",Adults & Children,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/81adca2f64d2ec03999fd700b5a4584a"
The City of Spiderman Cakes Selection,Cakes & Party Foods,70,,"Spiderman-themed cake and treats selection, made to order.",Made to order,Custom cakes,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/1d994f7ce959fceb94a9745167758841"
Queen Elsa Cake,Cakes & Party Foods,60,,"Custom Frozen / Elsa cake. Choose your size, flavour and filling. Delivery available.",Made to order,Custom cake,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/563fd682af1f57f97aeb541ee9c40d49"
Barbie Cake,Cakes & Party Foods,50,,"Custom Barbie-themed celebration cake, made to your size and flavour.",Made to order,Custom cake,"https://bouncycastlenetwork-res.cloudinary.com/image/upload/f_auto,q_auto,c_limit,w_900/1485c722b5ae11332766f5b0e7e795cb"
